HCPCS Code,Short Descriptor,SI,APC ,Relative Weight,Payment Rate ,National Unadjusted Copayment ,Minimum Unadjusted Copayment ,Column1,Column2,Column3
00100,Anesth salivary gland,N,,,,,,,,
00102,Anesth repair of cleft lip,N,,,,,,,,
00103,Anesth blepharoplasty,N,,,,,,,,
00104,Anesth electroshock,N,,,,,,,,
00120,Anesth ear surgery,N,,,,,,,,
00124,Anesth ear exam,N,,,,,,,,
00126,Anesth tympanotomy,N,,,,,,,,
00140,Anesth procedures on eye,N,,,,,,,,
00142,Anesth lens surgery,N,,,,,,,,
00144,Anesth corneal transplant,N,,,,,,,,
00145,Anesth vitreoretinal surg,N,,,,,,,,
00147,Anesth iridectomy,N,,,,,,,,
00148,Anesth eye exam,N,,,,,,,,
00160,Anesth nose/sinus surgery,N,,,,,,,,
00162,Anesth nose/sinus surgery,N,,,,,,,,
00164,Anesth biopsy of nose,N,,,,,,,,
00170,Anesth procedure on mouth,N,,,,,,,,
00172,Anesth cleft palate repair,N,,,,,,,,
00174,Anesth pharyngeal surgery,N,,,,,,,,
00176,Anesth pharyngeal surgery,C,,,,,,,,
00190,Anesth face/skull bone surg,N,,,,,,,,
00192,Anesth facial bone surgery,C,,,,,,,,
00210,Anesth cranial surg nos,N,,,,,,,,
00211,Anesth cran surg hemotoma,C,,,,,,,,
00212,Anesth skull drainage,N,,,,,,,,
00214,Anesth skull drainage,C,,,,,,,,
00215,Anesth skull repair/fract,C,,,,,,,,
00216,Anesth head vessel surgery,N,,,,,,,,
00218,Anesth special head surgery,N,,,,,,,,
00220,Anesth intrcrn nerve,N,,,,,,,,
00222,Anesth head nerve surgery,N,,,,,,,,
00300,Anesth head/neck/ptrunk,N,,,,,,,,
00320,Anesth neck organ 1yr/>,N,,,,,,,,
00322,Anesth biopsy of thyroid,N,,,,,,,,
00326,Anesth larynx/trach < 1 yr,N,,,,,,,,
00350,Anesth neck vessel surgery,N,,,,,,,,
00352,Anesth neck vessel surgery,N,,,,,,,,
00400,Anesth skin ext/per/atrunk,N,,,,,,,,
00402,Anesth surgery of breast,N,,,,,,,,
00404,Anesth surgery of breast,N,,,,,,,,
00406,Anesth surgery of breast,N,,,,,,,,
00410,Anesth correct heart rhythm,N,,,,,,,,
00450,Anesth surgery of shoulder,N,,,,,,,,
00454,Anesth collar bone biopsy,N,,,,,,,,
00470,Anesth removal of rib,N,,,,,,,,
00472,Anesth chest wall repair,N,,,,,,,,
00474,Anesth surgery of rib,C,,,,,,,,
00500,Anesth esophageal surgery,N,,,,,,,,
00520,Anesth chest procedure,N,,,,,,,,
00522,Anesth chest lining biopsy,N,,,,,,,,
00524,Anesth chest drainage,C,,,,,,,,
00528,Anes mediascpy & dx thorscpy,N,,,,,,,,
00529,Anes medscpy&thorscpy 1 lung,N,,,,,,,,
00530,Anesth pacemaker insertion,N,,,,,,,,
00532,Anesth vascular access,N,,,,,,,,
00534,Anesth cardioverter/defib,N,,,,,,,,
00537,Anesth cardiac electrophys,N,,,,,,,,
00539,Anesth trach-bronch reconst,N,,,,,,,,
00540,Anesth chest surgery,C,,,,,,,,
00541,Anesth one lung ventilation,N,,,,,,,,
00542,Anesthesia removal pleura,C,,,,,,,,
00546,Anesth lung chest wall surg,C,,,,,,,,
00548,Anesth trachea bronchi surg,N,,,,,,,,
00550,Anesth sternal debridement,N,,,,,,,,
00560,Anesth heart surg w/o pump,C,,,,,,,,
00561,Anesth heart surg <1 yr,C,,,,,,,,
00562,Anesth hrt surg w/pmp age 1+,C,,,,,,,,
00563,Anesth heart surg w/arrest,N,,,,,,,,
00566,Anesth cabg w/o pump,N,,,,,,,,
00567,Anesth cabg w/pump,C,,,,,,,,
00580,Anesth heart/lung transplnt,C,,,,,,,,
00600,Anesth spine cord surgery,N,,,,,,,,
00604,Anesth sitting procedure,C,,,,,,,,
00620,Anesth spine cord surgery,N,,,,,,,,
00625,Anes spine tranthor w/o vent,N,,,,,,,,
00626,Anes spine transthor w/vent,N,,,,,,,,
00630,Anesth spine cord surgery,N,,,,,,,,
00632,Anesth removal of nerves,C,,,,,,,,
00635,Anesth lumbar puncture,N,,,,,,,,
00640,Anesth spine manipulation,N,,,,,,,,
00670,Anesth spine cord surgery,N,,,,,,,,
00700,Anesth abdominal wall surg,N,,,,,,,,
00702,Anesth for liver biopsy,N,,,,,,,,
00730,Anesth abdominal wall surg,N,,,,,,,,
00731,Anes upr gi ndsc px nos,N,,,,,,,,
00732,Anes upr gi ndsc px ercp,N,,,,,,,,
00750,Anesth repair of hernia,N,,,,,,,,
00752,Anesth repair of hernia,N,,,,,,,,
00754,Anesth repair of hernia,N,,,,,,,,
00756,Anesth repair of hernia,N,,,,,,,,
00770,Anesth blood vessel repair,N,,,,,,,,
00790,Anesth surg upper abdomen,N,,,,,,,,
00792,Anesth hemorr/excise liver,C,,,,,,,,
00794,Anesth pancreas removal,C,,,,,,,,
00796,Anesth for liver transplant,C,,,,,,,,
00797,Anesth surgery for obesity,N,,,,,,,,
00800,Anesth abdominal wall surg,N,,,,,,,,
00802,Anesth fat layer removal,N,,,,,,,,
00811,Anes lwr intst ndsc nos,N,,,,,,,,
00812,Anes lwr intst scr colsc,N,,,,,,,,
00813,Anes upr lwr gi ndsc px,N,,,,,,,,
00820,Anesth abdominal wall surg,N,,,,,,,,
00830,Anesth repair of hernia,N,,,,,,,,
00832,Anesth repair of hernia,N,,,,,,,,
